run_id,replication,seed,TT_OB_Agri,TT_IB_Agri,WT_IB_NA_Ross,TT_OB_LB,TT_IB_LB,TT_OB_DR,TT_IB_DR,Uti_Cus_D,Uti_Cus_R,WT_IB_NA_Dub,WT_OB_A_GB-Dub,WT_OB_A_GB-Ross,WT_OB_NA_GB-Dub,WT_OB_NA_GB-Ross
manual_145,1,1,13.159911869661816,16.403793468268333,0.1204106150961207,24.942192337767292,25.277672253876386,34.954591427659864,29.496391443330843,0.2733333333333275,0.0637499999999988,0.3156436406344091,0.0719991582401073,0.0246958266618155,0.0682860339265728,0.0236522315307524
manual_146,1,1,13.722997237309396,16.37207975557405,0.2039527891567215,24.85283171283048,25.129282712428747,34.96179784109056,29.62105862450052,0.3734147513510615,0.0877777777777767,0.5996282431621335,0.1921067533357593,0.0360253213670232,0.199307762704734,0.0350795422761508
manual_147,1,1,14.29723644135932,16.367458928041415,0.2747234603911999,24.961442225037025,25.22472589232773,35.235387188855725,29.464127599176464,0.4839745796262998,0.13898148148148,0.8016264287163468,0.4128835945230247,0.0853614748955284,0.4294534156286194,0.0765888795960067
manual_148,1,1,15.102126780931606,16.313512378375076,0.5026546942201944,24.830768286469976,25.172677572621872,34.87957357923088,29.36262675308058,0.7905891353927614,0.1786805555555519,2.138364667105801,2.117564462234116,0.2031610000072851,2.1101164960506207,0.1702389200142861
manual_149,1,1,14.745721955888676,16.448192450965006,0.3709289698672783,24.954862732549977,25.155837234419145,34.556519460816695,29.394492695981544,0.5508775020476434,0.1553240740740799,1.0617618522975962,0.6685870649030873,0.1017734329055026,0.6819308686273746,0.1113704199069555
manual_150,1,1,15.260176778542796,16.40450137596965,0.6273966715463473,24.94625842149147,25.13455944027247,35.915135848573144,29.755765483984675,0.753504562589899,0.2219444444444477,1.794546152275177,1.6588080603988278,0.2867509716807073,1.6796029944443682,0.2750701090079576
manual_151,1,1,15.232117246169974,16.267967441341348,0.3483301927792275,24.81532000754242,25.089161660368376,35.70637898065352,29.654582788767872,0.7824803810849018,0.1539351851851888,2.062006465473943,2.00676741176968,0.1236980968669888,2.001952143371099,0.1084801974519418
manual_152,1,1,14.381779042216172,16.281435776569076,0.2062335944871016,24.90867023724905,25.2248036226408,34.423429712050016,29.35500785466071,0.5672299382716139,0.1010763888888906,1.188973956897062,0.8353784153669812,0.0546170700634821,0.8312297511422658,0.0561748080965649
manual_153,1,1,13.167393408405209,16.308763808324837,0.0889801682768686,24.830219660880672,25.234264723066403,35.28101993276539,29.55791105504572,0.2372264016933541,0.0503125000000007,0.3024230387034213,0.0462669626662502,0.0155247651848526,0.0395937177781517,0.0197146712953829
manual_154,1,1,13.824340776278564,16.358907374876214,0.1428446425691971,24.884948733141734,25.22659138446016,35.11497753113291,29.34473086232921,0.4511716176137714,0.0837037037037034,0.8053193421323876,0.3516563080935846,0.0347835417420279,0.367264810350173,0.0386767953005792
manual_155,1,1,15.382730793190774,16.417080339199526,0.2857670141124212,24.96689824304142,25.20000896477078,35.25309470651129,29.39778625319415,0.7241231542470962,0.1290740740740752,1.685854761197633,1.5587808413694857,0.0896851561088771,1.5571522313948511,0.0823692258602054
manual_156,1,1,13.455939636030482,16.291051356816396,0.2443691615976093,24.93611913824487,25.14927258793081,34.89661269222199,29.398180149552665,0.3597766038328073,0.1002083333333341,0.551617508802214,0.1563635881656374,0.0351704534786874,0.1574865349740744,0.0595553798057279
manual_157,1,1,13.450453191455392,16.32400188087644,0.1656323753904798,24.9574353865144,25.21165407969788,34.85200495718691,29.349196449840367,0.3621527777777833,0.0845833333333346,0.5856148500592507,0.170881641123495,0.036636207277298,0.1741898385000888,0.0304792164681466
manual_158,1,1,15.353687846268912,16.375738623560377,0.2362048295659644,24.90246677103505,25.120217625419173,35.817419582513985,29.49681542867021,0.7201767654075072,0.1192592592592552,1.8304390169445608,1.6202184787336933,0.0510206376443116,1.5982712485614274,0.0537517499433093
manual_159,1,1,13.45705340979126,16.363541091224715,0.1981344173578918,25.016050558394227,25.305008031253397,34.78260354370226,29.62526083368936,0.3213331130779255,0.0897222222222212,0.4413165730521541,0.1134518484570754,0.0387827966669141,0.1145568009582087,0.0401474158237419
