target,model,mean_rmse,std_rmse,cv_n_splits,cv_n_repeats,cv_n_scores,best_params
TT_OB_Agri,KNN,22.707745989371674,11.80688503164068,10,3,30,"{""n_neighbors"": 10, ""p"": 2, ""weights"": ""distance""}"
TT_OB_Agri,MLP,23.578470249137823,8.590696216306865,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50], ""max_iter"": 500}"
TT_OB_Agri,Ridge,23.97230682431863,9.557698990281128,10,3,30,"{""alpha"": 100}"
TT_OB_Agri,ElasticNet,24.084572528141127,9.356632374861169,10,3,30,"{""alpha"": 1, ""l1_ratio"": 0.2}"
TT_OB_Agri,BayesianRidge,24.32546239735881,9.329222543257075,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
TT_OB_Agri,Lasso,24.793227514030505,8.592783557927463,10,3,30,"{""alpha"": 1}"
TT_OB_Agri,SVR_Poly,26.32379365626269,16.752473041003146,10,3,30,"{""C"": 1, ""degree"": 3, ""epsilon"": 0.1}"
TT_OB_Agri,Baseline_OLS,26.740433252180914,8.694510316635986,10,3,30,{}
TT_OB_Agri,GPR_RBF,27.158155814892684,13.110501089464888,10,3,30,"{""alpha"": 0.001}"
TT_OB_Agri,Baseline_Mean,27.158173544573238,13.110483035330475,10,3,30,{}
TT_OB_Agri,PolynomialReg_deg3,27.43590118948571,10.75261237207892,10,3,30,"{""ridge__alpha"": 0.001}"
TT_OB_Agri,PolynomialReg_deg2,32.38409777801143,7.4560211930052,10,3,30,"{""ridge__alpha"": 10}"
TT_OB_DR,CatBoost,0.43447907486872545,0.12488192256079218,10,3,30,"{""depth"": 4, ""iterations"": 50, ""learning_rate"": 0.1}"
TT_OB_DR,RandomForest,0.4578394004856644,0.10965560737022183,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 2, ""n_estimators"": 100}"
TT_OB_DR,XGBoost,0.45811096375635796,0.10168872418583683,10,3,30,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50}"
TT_OB_DR,LightGBM,0.45904175755661786,0.12855858081983293,10,3,30,"{""learning_rate"": 0.05, ""n_estimators"": 50, ""num_leaves"": 15}"
TT_OB_DR,KNN,0.46042513639209137,0.14064311177993868,10,3,30,"{""n_neighbors"": 15, ""p"": 1, ""weights"": ""distance""}"
TT_OB_DR,Ridge,0.4639302250780312,0.14088966056425598,10,3,30,"{""alpha"": 100}"
TT_OB_DR,BayesianRidge,0.4650864923648104,0.1463233186428747,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-05, ""lambda_1"": 1e-05}"
TT_OB_DR,SVR_RBF,0.46540870770903936,0.14180684474876074,10,3,30,"{""C"": 10, ""epsilon"": 0.5, ""gamma"": ""auto""}"
TT_OB_DR,ElasticNet,0.4656285468747217,0.1483688163508385,10,3,30,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
TT_OB_DR,Lasso,0.46635561698072164,0.15293497942965345,10,3,30,"{""alpha"": 0.1}"
TT_OB_DR,ExtraTrees,0.467873177738886,0.09546785207937514,10,3,30,"{""max_depth"": 5, ""min_samples_split"": 5, ""n_estimators"": 50}"
TT_OB_DR,GPR_Matern,0.477468630015671,0.1547068118776516,10,3,30,"{""alpha"": 1e-06}"
TT_OB_DR,SVR_Poly,0.48282913263693866,0.18446053110949845,10,3,30,"{""C"": 0.1, ""degree"": 3, ""epsilon"": 0.1}"
TT_OB_DR,GradientBoosting,0.48382273797665676,0.10771838615400826,10,3,30,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 50}"
TT_OB_DR,AdaBoost,0.49121448392853334,0.10621179239364247,10,3,30,"{""learning_rate"": 1.0, ""n_estimators"": 200}"
TT_OB_DR,GPR_RBF,0.498869746300301,0.1779438440196378,10,3,30,"{""alpha"": 1e-06}"
TT_OB_DR,Baseline_Mean,0.5001111577850972,0.18038006725332606,10,3,30,{}
TT_OB_DR,Baseline_OLS,0.5007753655873145,0.11604768746983307,10,3,30,{}
TT_OB_DR,PolynomialReg_deg2,0.7273968377976101,0.13209620870538755,10,3,30,"{""ridge__alpha"": 10}"
TT_OB_DR,PolynomialReg_deg3,0.7955545492068414,0.18432543404204432,10,3,30,"{""ridge__alpha"": 10}"
TT_OB_DR,MLP,4.076964497451381,2.024789010944347,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
TT_OB_LB,AdaBoost,0.2591262699684426,0.11843833800422947,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 200}"
TT_OB_LB,ExtraTrees,0.2614408460363124,0.08253225497306137,10,3,30,"{""max_depth"": null, ""min_samples_split"": 2, ""n_estimators"": 200}"
TT_OB_LB,LightGBM,0.27048611518393256,0.07072983853736782,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 50, ""num_leaves"": 15}"
TT_OB_LB,CatBoost,0.27897770932762456,0.07855639900824499,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
TT_OB_LB,XGBoost,0.2793761273412386,0.12739895385459923,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 50}"
TT_OB_LB,GradientBoosting,0.2924758211628437,0.11063944291690886,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}"
TT_OB_LB,RandomForest,0.29798262096745354,0.09555761592020305,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 5, ""n_estimators"": 100}"
TT_OB_LB,ElasticNet,0.30410469793395767,0.05502854573567029,10,3,30,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
TT_OB_LB,Lasso,0.30923373426224254,0.04965227570820167,10,3,30,"{""alpha"": 0.01}"
TT_OB_LB,Ridge,0.3203097969351107,0.05397897311049634,10,3,30,"{""alpha"": 10}"
TT_OB_LB,BayesianRidge,0.3216032761569654,0.055593732292891475,10,3,30,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-06, ""lambda_1"": 1e-06}"
TT_OB_LB,GPR_Matern,0.3288838639981698,0.05893934657526406,10,3,30,"{""alpha"": 1e-06}"
TT_OB_LB,Baseline_OLS,0.33262336637319223,0.05184550910252954,10,3,30,{}
TT_OB_LB,SVR_RBF,0.364911023448058,0.06563268455303223,10,3,30,"{""C"": 10, ""epsilon"": 0.01, ""gamma"": ""scale""}"
TT_OB_LB,PolynomialReg_deg2,0.41084743577043326,0.0879819928512707,10,3,30,"{""ridge__alpha"": 10}"
TT_OB_LB,KNN,0.43265209718872427,0.09154647748020105,10,3,30,"{""n_neighbors"": 7, ""p"": 2, ""weights"": ""distance""}"
TT_OB_LB,SVR_Poly,0.45554543555118304,0.1251183899278017,10,3,30,"{""C"": 0.1, ""degree"": 3, ""epsilon"": 0.1}"
TT_OB_LB,GPR_RBF,0.46538803594557204,0.08982013694496846,10,3,30,"{""alpha"": 0.001}"
TT_OB_LB,Baseline_Mean,0.4653885662583071,0.08981999871325819,10,3,30,{}
TT_OB_LB,PolynomialReg_deg3,0.5400398048215557,0.07604813111881982,10,3,30,"{""ridge__alpha"": 10}"
TT_OB_LB,MLP,2.887456052627948,1.531485568264078,10,3,30,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50, 50], ""max_iter"": 500}"
Uti_Cus_D,GPR_Matern,0.08367421368165838,0.024499017543878183,10,3,30,"{""alpha"": 1e-10}"
Uti_Cus_D,GradientBoosting,0.08744190463729586,0.03373550009553855,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
Uti_Cus_D,XGBoost,0.0878085011589679,0.029182671165326038,10,3,30,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
Uti_Cus_D,CatBoost,0.0885573183828693,0.028959821318937484,10,3,30,"{""depth"": 4, ""iterations"": 100, ""learning_rate"": 0.1}"
Uti_Cus_D,ExtraTrees,0.08889352245397789,0.030537931802974837,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 100}"
Uti_Cus_D,LightGBM,0.09123233123973704,0.025741432497017706,10,3,30,"{""learning_rate"": 0.1, ""n_estimators"": 100, ""num_leaves"": 15}"
Uti_Cus_D,PolynomialReg_deg2,0.0918772529654711,0.022032842233952188,10,3,30,"{""ridge__alpha"": 1}"
Uti_Cus_D,AdaBoost,0.09248620641171429,0.0326072644749864,10,3,30,"{""learning_rate"": 0.5, ""n_estimators"": 200}"
Uti_Cus_D,SVR_RBF,0.09446131785928408,0.031599861886934706,10,3,30,"{""C"": 1, ""epsilon"": 0.01, ""gamma"": ""scale""}"
Uti_Cus_D,ElasticNet,0.09612552661820518,0.024318013963325773,10,3,30,"{""alpha"": 0.01, ""l1_ratio"": 0.8}"
Uti_Cus_D,Lasso,0.096432068277062,0.02557169773842136,10,3,30,"{""alpha"": 0.01}"
Uti_Cus_D,RandomForest,0.0977046151102371,0.03425872149300373,10,3,30,"{""max_depth"": 10, ""min_samples_split"": 2, ""n_estimators"": 200}"
